#Depth	Count
1	3493125800
2	166744349
3	28160428
4	12846626
5	5398128
6	3075063
7	1822646
8	1188525
9	811884
10	585449
11	434744
12	338544
13	267808
14	214625
15	178267
16	146822
17	123981
18	104467
19	89746
20	77484
21	67646
22	59522
23	53447
24	47506
25	42409
26	38430
27	34711
28	31912
29	29527
30	27094
31	25193
32	23417
33	21812
34	20393
35	19122
36	17756
37	17072
38	15969
39	15178
40	14458
41	13609
42	12987
43	12120
44	11715
45	11165
46	10636
47	10249
48	9834
49	9230
50	8929
51	8512
52	8226
53	7881
54	7496
55	7064
56	6916
57	6551
58	6437
59	6308
60	5921
61	5649
62	5521
63	5102
64	5167
65	4997
66	4723
67	4614
68	4415
69	4244
70	4059
71	3999
72	3963
73	3625
74	3546
75	3358
76	3554
77	3264
78	3193
79	3215
80	3049
81	2920
82	2937
83	2887
84	2776
85	2607
86	2655
87	2522
88	2481
89	2418
90	2234
91	2261
92	2243
93	2102
94	2139
95	2124
96	2109
97	1995
98	1946
99	1892
100	1883
101	1866
102	1854
103	1731
104	1698
105	1668
106	1619
107	1630
108	1555
109	1590
110	1440
111	1545
112	1397
113	1433
114	1426
115	1372
116	1360
117	1326
118	1308
119	1342
120	1270
121	1209
122	1204
123	1203
124	1204
125	1128
126	1155
127	1101
128	1125
129	1056
130	1044
131	1032
132	1005
133	1043
134	984
135	971
136	956
137	955
138	879
139	901
140	892
141	919
142	895
143	861
144	878
145	816
146	829
147	839
148	798
149	811
150	778
151	754
152	753
153	747
154	737
155	769
156	699
157	736
158	684
159	674
160	658
161	673
162	636
163	646
164	650
165	613
166	553
167	570
168	599
169	643
170	584
171	582
172	594
173	491
174	570
175	538
176	530
177	510
178	495
179	506
180	554
181	469
182	522
183	474
184	467
185	478
186	439
187	519
188	435
189	447
190	420
191	436
192	414
193	432
194	435
195	417
196	391
197	418
198	459
199	391
200	408
201	382
202	361
203	412
204	380
205	351
206	369
207	369
208	400
209	382
210	385
211	354
212	374
213	349
214	371
215	364
216	362
217	365
218	319
219	337
220	320
221	330
222	334
223	334
224	312
225	311
226	338
227	287
228	286
229	322
230	308
231	304
232	272
233	288
234	325
235	302
236	255
237	266
238	282
239	269
240	269
241	275
242	278
243	276
244	269
245	245
246	276
247	270
248	241
249	271
250	248
251	249
252	256
253	224
254	258
255	241
256	217
257	219
258	245
259	267
260	200
261	244
262	214
263	220
264	215
265	222
266	216
267	200
268	200
269	242
270	216
271	216
272	216
273	192
274	199
275	204
276	215
277	208
278	229
279	202
280	196
281	197
282	212
283	181
284	177
285	152
286	186
287	206
288	181
289	157
290	192
291	178
292	164
293	179
294	179
295	159
296	168
297	194
298	161
299	162
300	173
301	147
302	158
303	144
304	164
305	164
306	176
307	175
308	151
309	190
310	155
311	137
312	153
313	147
314	153
315	166
316	133
317	185
318	126
319	141
320	170
321	159
322	132
323	131
324	128
325	133
326	151
327	142
328	143
329	136
