#Depth	Count
1	1079992357
2	110341476
3	43756805
4	24617060
5	15814374
6	11047983
7	8117344
8	6139552
9	4781758
10	3815520
11	3118016
12	2592261
13	2203349
14	1906378
15	1651113
16	1449748
17	1270427
18	1120756
19	987909
20	872300
21	772956
22	682595
23	606948
24	539434
25	483445
26	434438
27	391459
28	360872
29	333607
30	310446
31	291901
32	277047
33	267728
34	259323
35	251522
36	244638
37	239849
38	233891
39	227655
40	222099
41	214872
42	207231
43	199075
44	189970
45	180226
46	170229
47	160110
48	149759
49	140132
50	129904
51	119404
52	110156
53	100442
54	92432
55	84593
56	77555
57	70598
58	64938
59	60151
60	55954
61	52743
62	48871
63	45599
64	42846
65	40929
66	38769
67	36791
68	35536
69	33935
70	32466
71	31424
72	30053
73	28953
74	27916
75	26544
76	25129
77	23630
78	22558
79	20881
80	19826
81	18674
82	17405
83	16309
84	15159
85	13900
86	12999
87	11915
88	10962
89	10006
90	9160
91	8399
92	7573
93	7023
94	6541
95	5753
96	5544
97	4931
98	4621
99	4353
100	4148
101	3834
102	3518
103	3153
104	3088
105	2750
106	2470
107	2284
108	2232
109	2211
110	2069
111	1778
112	1760
113	1636
114	1562
115	1454
116	1426
117	1298
118	1328
119	1256
120	1208
121	1106
122	1032
123	938
124	957
125	983
126	883
127	806
128	760
129	697
130	698
131	650
132	591
133	586
134	563
135	544
136	547
137	482
138	500
139	497
140	455
141	413
142	419
143	438
144	409
145	367
146	403
147	334
148	305
149	300
150	292
151	276
152	264
153	300
154	285
155	300
156	298
157	272
158	296
159	265
160	256
161	243
162	208
163	187
164	211
165	233
166	220
167	207
168	210
169	206
170	194
171	186
172	188
173	179
174	195
175	171
176	201
177	213
178	204
179	225
180	211
181	184
182	202
183	226
184	189
185	192
186	210
187	185
188	186
189	201
190	181
191	156
192	182
193	142
194	188
195	167
196	173
197	163
198	184
199	168
200	171
201	140
202	142
203	117
204	141
205	151
206	148
207	143
208	161
209	160
210	143
211	139
212	138
213	140
214	136
215	117
216	115
217	123
218	105
219	118
220	103
221	97
222	94
223	71
224	84
225	80
226	89
227	57
228	65
229	63
230	61
231	77
232	72
233	69
234	73
235	59
236	52
237	65
238	60
239	59
240	53
241	51
242	63
243	58
244	54
245	51
246	47
247	36
248	44
249	47
250	42
251	40
252	39
253	46
254	41
255	42
256	40
257	38
258	24
259	22
260	36
261	28
262	35
263	23
264	28
265	34
266	35
267	38
268	42
269	29
270	30
271	30
272	29
273	36
274	22
275	29
276	26
277	30
278	27
279	43
280	32
281	26
282	24
283	37
284	38
285	34
286	33
287	40
288	26
289	26
290	17
291	22
292	33
293	29
294	24
295	34
296	23
297	35
298	22
299	17
300	17
301	25
302	16
303	22
304	18
305	17
306	17
307	22
308	17
309	22
310	12
311	21
312	25
313	24
314	20
315	22
316	26
317	32
318	17
319	27
320	30
321	33
322	18
323	18
324	23
325	11
326	19
327	25
328	22
329	20
330	16
331	20
332	28
333	25
334	26
335	20
336	26
337	16
338	22
339	16
340	23
341	16
342	23
343	22
344	18
345	10
346	10
347	12
348	15
349	17
350	12
351	19
352	11
353	16
354	19
355	13
356	21
357	15
358	18
359	18
360	7
361	10
362	10
363	8
364	12
365	15
366	13
367	15
368	12
369	11
370	9
371	7
372	15
373	10
374	12
375	8
376	11
377	5
378	8
379	7
380	5
381	5
382	4
383	3
384	6
385	7
386	5
387	7
388	6
389	7
390	4
391	6
392	3
393	8
394	7
395	6
396	5
397	3
398	12
399	9
400	9
401	6
402	10
403	5
404	6
405	8
406	4
407	7
408	5
409	9
410	8
411	8
412	5
413	12
414	14
415	9
416	10
417	10
418	12
419	11
420	7
421	12
422	11
423	10
424	9
425	5
426	7
427	8
428	8
429	4
430	7
431	11
432	10
433	6
434	8
435	6
436	7
437	5
438	6
439	5
440	6
441	8
442	5
443	4
444	8
445	7
446	4
447	7
448	3
449	8
450	13
451	7
452	6
453	6
454	2
455	8
456	6
457	5
458	7
459	5
460	6
461	7
462	4
463	2
464	2
465	2
466	3
467	3
468	5
469	3
470	3
472	4
473	6
474	2
475	4
476	2
477	3
478	2
479	3
480	3
481	3
482	4
483	2
484	2
485	2
486	9
487	4
488	1
489	2
490	5
491	3
492	1
493	3
494	1
495	6
497	7
498	3
499	5
500	5
501	5
502	5
503	4
504	5
505	1
506	4
507	3
508	4
509	2
510	4
511	9
512	6
513	8
514	7
515	4
516	3
517	4
518	4
519	5
520	10
521	1
522	3
523	3
524	2
525	2
526	3
527	2
528	1
529	2
530	3
531	2
533	1
534	4
535	5
536	1
537	2
538	2
539	9
540	3
541	5
542	6
543	3
544	6
545	6
546	1
547	3
548	6
549	6
550	3
551	7
552	6
553	5
554	5
555	2
556	1
557	3
558	2
559	4
560	2
561	3
562	1
563	1
564	5
565	3
566	5
567	1
568	2
569	2
570	1
571	5
572	1
573	2
574	1
575	1
576	3
577	2
578	3
579	5
580	4
581	4
582	3
584	5
585	2
586	5
587	2
588	1
590	2
591	2
592	3
594	1
595	2
596	1
597	6
598	7
599	5
600	1
601	1
602	5
603	1
604	2
605	2
606	7
607	8
608	3
609	6
610	1
612	6
613	4
614	2
615	3
616	3
617	3
618	1
619	3
620	5
623	3
624	3
625	3
626	1
627	4
628	4
629	3
630	6
631	1
632	1
633	3
634	1
635	2
636	5
637	2
638	2
640	8
641	1
642	9
643	4
644	1
646	3
647	3
649	1
650	1
651	1
653	1
655	1
656	2
657	2
658	2
659	2
660	1
661	1
662	1
663	1
664	2
665	2
666	4
667	1
669	4
670	1
671	3
672	1
673	1
674	2
675	4
676	3
677	4
678	5
679	1
680	5
681	1
684	1
685	2
686	1
687	1
689	1
691	1
692	1
693	1
694	1
695	3
698	1
699	1
700	1
702	1
705	1
706	1
708	1
709	1
710	1
711	2
712	1
713	2
715	1
716	2
718	1
723	2
724	1
725	1
726	1
728	1
729	1
732	2
733	1
734	2
735	1
736	1
737	1
738	4
739	1
740	1
743	1
744	2
745	3
746	1
748	1
749	1
750	1
751	2
753	1
754	3
755	2
756	1
757	2
758	3
759	1
761	1
762	3
764	1
765	2
766	1
767	1
768	1
769	1
770	3
771	2
772	1
774	1
775	2
777	1
778	1
781	2
782	1
784	1
785	3
787	1
791	1
793	1
794	2
795	1
796	2
798	1
800	2
801	1
802	1
803	1
804	2
805	2
808	1
813	1
814	1
815	1
816	2
817	1
818	1
819	1
823	1
824	1
825	1
826	1
827	2
831	1
836	2
837	3
838	1
839	1
840	2
841	1
842	1
844	1
845	1
852	1
853	1
856	2
861	1
863	1
865	1
868	1
869	3
871	1
872	1
873	2
876	1
877	1
878	1
879	1
880	1
881	2
882	1
885	1
886	1
887	4
888	1
890	1
891	2
892	2
893	1
901	1
902	2
904	1
906	1
907	1
909	2
911	2
912	2
913	1
914	2
916	2
918	2
921	1
923	2
924	1
925	1
926	3
927	1
929	3
932	1
933	1
936	1
937	1
938	2
942	2
945	1
946	1
948	1
949	1
952	1
953	2
954	1
955	1
957	2
960	1
961	1
962	1
963	1
965	1
966	2
969	1
971	1
972	1
973	1
975	1
976	2
981	1
982	1
987	1
996	1
997	1
1000	1
1008	2
1009	1
1016	2
1017	1
1018	2
1021	1
1022	1
1024	2
1026	1
1041	1
1044	3
1047	1
1049	1
1050	1
1051	1
1052	1
1053	4
1054	1
1058	1
1062	1
1065	2
1066	1
1068	1
1071	1
1072	1
1073	1
1074	1
1075	2
1076	1
1080	1
1082	1
1083	1
1086	1
1087	2
1088	1
1089	1
1090	1
1099	1
1100	1
1101	1
1102	1
1105	2
1111	2
1117	1
1118	1
1120	2
1121	2
1122	1
1123	1
1126	1
1127	1
1130	2
1132	1
1135	1
1139	1
1140	3
1143	2
1144	1
1147	2
1151	1
1153	1
1155	1
1156	1
1159	2
1163	1
1168	2
1170	1
1171	3
1172	1
1173	2
1178	1
1180	1
1181	1
1182	2
1183	1
1185	1
1189	1
1198	1
1201	1
1202	1
1203	1
1207	1
1208	1
1209	2
1210	2
1212	1
1213	3
1215	3
1216	1
1220	1
1221	1
1225	1
1226	1
1231	1
1236	1
1241	1
1242	1
1245	1
1254	1
1259	2
1260	2
1262	1
1276	2
1277	1
1279	1
1289	1
1291	1
1295	1
1296	1
1297	1
1298	1
1300	1
1301	1
1309	2
1314	1
1315	1
1317	1
1319	1
1322	1
1325	1
1326	1
1327	1
1328	2
1329	1
1335	1
1336	1
1338	1
1343	1
1347	2
1348	1
1349	1
1350	1
1353	1
1354	1
1355	1
1366	1
1367	1
1368	1
1369	1
1371	1
1372	1
1381	1
1394	1
1402	1
1413	1
1414	1
1420	1
1421	1
1427	1
1433	1
1439	1
1443	1
1446	1
1448	2
1450	1
1457	1
1463	1
1465	1
1466	1
1467	1
1480	1
1488	1
1493	1
1497	1
1499	1
1504	1
1510	2
1517	1
1518	1
1521	1
1526	1
1528	1
1531	1
1535	1
1540	1
1547	1
1549	1
1552	1
1559	1
1561	1
1567	1
1574	1
