#Depth	Count
1	1129711864
2	138200642
3	43787707
4	24004374
5	14850153
6	10322915
7	7718542
8	6035893
9	4861519
10	3994906
11	3321261
12	2782578
13	2352056
14	2006123
15	1714814
16	1467839
17	1263030
18	1086128
19	944218
20	825985
21	721985
22	637452
23	565426
24	505208
25	458281
26	418976
27	385825
28	356493
29	333642
30	310869
31	291568
32	270838
33	251593
34	232879
35	216428
36	202084
37	187890
38	176105
39	164422
40	153192
41	143105
42	134269
43	127303
44	121738
45	115863
46	112167
47	109147
48	107375
49	106765
50	105990
51	105945
52	105761
53	105589
54	105990
55	106291
56	106788
57	106402
58	105686
59	105385
60	104020
61	103223
62	101394
63	99400
64	96642
65	94091
66	91536
67	88407
68	84771
69	82386
70	78369
71	74648
72	71124
73	67176
74	63724
75	59423
76	55600
77	51376
78	47851
79	44918
80	41209
81	37937
82	34788
83	31876
84	29144
85	26602
86	24511
87	22970
88	21189
89	18994
90	17521
91	16157
92	14955
93	13778
94	12417
95	11422
96	10787
97	9884
98	9190
99	8739
100	8167
101	7669
102	7204
103	6660
104	6197
105	5985
106	5534
107	5271
108	4957
109	4871
110	4682
111	4451
112	4291
113	4140
114	3969
115	3928
116	3769
117	3571
118	3378
119	3282
120	3215
121	3044
122	2848
123	2896
124	2664
125	2568
126	2554
127	2502
128	2321
129	2250
130	2222
131	2142
132	2028
133	1919
134	1945
135	1859
136	1769
137	1722
138	1671
139	1624
140	1593
141	1559
142	1552
143	1488
144	1395
145	1336
146	1392
147	1347
148	1277
149	1187
150	1186
151	1158
152	1133
153	1072
154	1097
155	1023
156	1044
157	954
158	969
159	957
160	896
161	811
162	875
163	833
164	831
165	844
166	806
167	822
168	869
169	870
170	879
171	968
172	846
173	838
174	844
175	814
176	837
177	779
178	820
179	874
180	769
181	785
182	779
183	768
184	710
185	738
186	666
187	695
188	716
189	654
190	690
191	686
192	650
193	684
194	653
195	601
196	577
197	596
198	563
199	541
200	595
201	608
202	570
203	610
204	602
205	584
206	582
207	600
208	567
209	570
210	540
211	561
212	530
213	553
214	525
215	500
216	532
217	520
218	500
219	500
220	488
221	514
222	467
223	476
224	436
225	445
226	462
227	405
228	379
229	383
230	365
231	371
232	381
233	351
234	383
235	369
236	344
237	359
238	358
239	341
240	307
241	297
242	315
243	329
244	285
245	280
246	264
247	294
248	266
249	269
250	248
251	272
252	264
253	234
254	274
255	245
256	278
257	237
258	236
259	222
260	216
261	227
262	222
263	210
264	204
265	189
266	195
267	180
268	192
269	169
270	177
271	191
272	200
273	160
274	154
275	148
276	130
277	153
278	149
279	142
280	138
281	130
282	101
283	105
284	125
285	113
286	121
287	123
288	101
289	110
290	109
291	114
292	113
293	102
294	112
295	99
296	92
297	105
298	108
299	107
300	81
301	95
302	97
303	76
304	85
305	68
306	57
307	69
308	71
309	79
310	75
311	76
312	68
313	73
314	79
315	75
316	73
317	74
318	82
319	78
320	79
321	78
322	87
323	63
324	73
325	80
326	73
327	69
328	55
329	65
330	75
331	62
332	49
333	69
334	62
335	70
336	65
337	72
338	57
339	57
340	67
341	44
342	68
343	63
344	48
345	56
346	61
347	58
348	59
349	69
350	50
351	40
352	54
353	63
354	57
355	53
356	62
357	48
358	57
359	59
360	44
361	53
362	55
363	41
364	66
365	68
366	47
367	58
368	65
369	55
370	50
371	52
372	45
373	51
374	44
375	45
376	48
377	49
378	37
379	38
380	31
381	36
382	38
383	50
384	45
385	53
386	33
387	49
388	47
389	29
390	33
391	30
392	29
393	40
394	24
395	28
396	32
397	33
398	34
399	35
400	35
401	35
402	31
403	35
404	45
405	37
406	28
407	45
408	34
409	35
410	26
411	34
412	40
413	30
414	26
415	31
416	42
417	32
418	30
419	22
420	40
421	30
422	23
423	32
424	27
425	31
426	36
427	36
428	30
429	22
430	28
431	32
432	22
433	19
434	30
435	23
436	23
437	21
438	24
439	23
440	26
441	21
442	11
443	18
444	19
445	17
446	11
447	15
448	16
449	21
450	23
451	13
452	20
453	26
454	25
455	17
456	21
457	17
458	17
459	14
460	30
461	16
462	13
463	18
464	16
465	13
466	9
467	13
468	19
469	16
470	12
471	14
472	18
473	9
474	12
475	19
476	25
477	19
478	28
479	13
480	23
481	24
482	16
483	25
484	19
485	25
486	24
487	22
488	17
489	18
490	16
491	13
492	18
493	18
494	25
495	23
496	20
497	20
498	21
499	14
500	14
501	13
502	14
503	15
504	13
505	14
506	11
507	17
508	14
509	17
510	21
511	9
512	9
513	18
514	8
515	13
516	13
517	15
518	10
519	11
520	11
521	13
522	11
523	8
524	15
525	15
526	13
527	8
528	14
529	13
530	11
531	12
532	16
533	14
534	17
535	14
536	11
537	16
538	12
539	9
540	8
541	10
542	14
543	12
544	21
545	10
546	11
547	8
548	13
549	6
550	14
551	15
552	10
553	9
554	8
555	12
556	4
557	14
558	15
559	8
560	7
561	13
562	9
563	7
564	18
565	13
566	9
567	11
568	10
569	7
570	12
571	10
572	4
573	7
574	9
575	5
576	4
577	12
578	1
579	8
580	5
581	8
582	4
583	8
584	10
585	10
586	6
587	6
588	6
589	9
590	6
591	4
592	10
593	7
594	6
595	9
596	10
597	7
598	11
599	11
600	9
601	6
602	6
603	9
604	10
605	8
606	4
607	5
608	10
609	4
610	9
611	7
612	3
613	6
614	6
615	6
616	4
617	9
618	8
619	8
620	7
621	8
622	7
623	4
624	8
625	7
626	8
627	2
628	4
629	2
630	2
631	4
632	4
633	4
634	3
635	4
636	3
637	2
638	7
639	10
640	6
641	2
642	6
643	4
644	5
645	9
646	13
647	3
648	3
649	6
650	5
651	7
652	6
653	6
654	10
655	6
656	3
657	2
658	6
659	3
660	7
661	6
662	1
663	5
664	3
666	5
667	2
668	5
669	5
670	1
671	8
672	2
673	5
674	5
675	7
676	9
677	1
678	5
679	3
680	3
681	1
682	4
683	3
684	5
685	8
686	4
687	3
688	10
689	7
690	5
691	2
692	4
693	2
694	2
695	4
696	2
697	2
698	7
699	3
700	4
701	2
702	4
703	6
704	5
705	5
706	6
707	8
708	3
709	1
710	2
711	1
712	3
713	5
714	2
715	7
716	7
717	3
718	2
719	6
720	2
721	3
722	5
723	4
724	1
725	6
726	1
727	3
728	6
729	6
730	9
731	1
732	6
733	3
734	5
735	4
736	2
737	3
738	3
739	4
740	5
741	5
742	8
743	2
744	2
745	2
746	3
747	7
748	5
749	2
750	4
751	2
752	3
753	1
754	3
755	4
756	4
757	2
758	5
759	5
760	3
761	4
762	3
763	9
764	1
765	3
766	2
767	3
768	1
769	4
770	3
771	4
772	5
773	5
774	7
775	6
776	9
777	4
778	3
779	7
780	4
781	2
782	6
783	1
784	3
785	2
786	3
787	5
788	2
789	4
790	1
791	5
792	7
793	1
794	4
795	6
796	4
797	2
799	2
800	4
801	2
802	4
803	3
804	6
805	3
806	5
807	2
808	4
809	4
810	7
811	3
812	3
813	3
814	5
815	3
816	4
817	1
818	5
819	2
820	2
821	2
822	1
823	2
824	3
825	1
826	3
828	4
829	4
830	4
831	1
832	2
833	2
834	2
835	6
836	3
837	1
838	5
839	5
840	3
841	3
842	2
843	6
844	3
845	4
846	2
847	2
848	4
849	3
850	2
851	2
852	3
853	2
854	2
856	3
857	2
858	1
859	1
860	1
861	2
863	4
864	3
866	1
867	2
868	2
869	4
870	3
872	5
873	2
874	6
875	4
876	4
877	4
878	3
879	2
880	2
882	3
883	4
884	3
885	6
886	1
887	2
888	6
889	4
890	1
891	3
892	2
894	3
895	4
896	3
897	4
898	2
899	3
900	3
901	3
902	1
903	2
904	3
905	2
906	1
907	3
909	5
910	4
911	2
912	3
913	1
914	1
915	3
916	4
917	1
918	1
920	2
921	2
922	1
923	5
924	1
925	2
926	1
927	2
928	2
929	4
930	4
931	2
933	3
934	3
935	3
936	1
937	5
938	6
939	3
940	2
941	4
942	6
943	5
944	2
945	1
946	2
947	3
948	5
949	3
950	2
951	5
952	2
953	2
954	4
955	5
956	1
957	4
958	3
959	2
960	1
961	2
962	2
963	5
964	3
965	2
966	4
967	4
968	3
969	5
971	2
972	2
973	4
975	2
976	1
977	1
978	1
979	3
980	4
981	4
982	2
983	1
984	2
985	1
987	1
988	2
989	2
990	3
991	3
992	2
993	1
994	2
995	3
996	3
998	1
999	3
1000	1
1001	2
1002	2
1003	2
1004	2
1005	2
1006	3
1007	6
1008	2
1009	2
1010	3
1012	3
1013	1
1014	2
1015	2
1016	3
1017	5
1018	5
1019	1
1020	2
1021	2
1024	4
1025	2
1027	1
1029	2
1030	1
1032	1
1033	3
1036	2
1037	1
1038	2
1039	3
1040	4
1041	2
1042	3
1043	2
1044	3
1046	1
1047	1
1048	1
1049	1
1050	2
1051	3
1052	5
1054	2
1056	3
1057	1
1058	1
1060	3
1061	4
1062	3
1063	1
1064	2
1065	2
1066	3
1067	2
1069	3
1070	2
1071	1
1072	1
1074	3
1075	1
1077	1
1078	6
1080	4
1082	1
1084	2
1085	2
1086	2
1087	1
1088	1
1089	1
1090	1
1091	2
1092	3
1093	1
1094	2
1095	1
1096	3
1097	3
1098	2
1099	1
1100	2
1101	4
1103	1
1106	5
1107	3
1108	2
1109	4
1110	2
1111	2
1112	2
1114	1
1115	2
1116	1
1117	2
1118	3
1120	1
1121	2
1122	2
1123	1
1125	2
1126	3
1127	3
1128	4
1130	1
1131	1
1134	1
1135	1
1136	2
1139	1
1141	2
1142	2
1143	2
1144	3
1145	2
1146	2
1147	3
1149	1
1150	3
1151	2
1152	2
1154	2
1155	1
1156	2
1157	2
1159	1
1160	3
1161	1
1162	3
1163	1
1164	3
1165	2
1166	2
1167	2
1168	2
1171	2
1172	1
1173	3
1174	3
1175	2
1176	3
1177	2
1178	4
1180	1
1181	2
1182	1
1183	2
1185	1
1186	1
1187	3
1188	1
1189	3
1195	2
1196	3
1198	1
1199	1
1202	2
1204	1
1205	2
1208	2
1209	1
1210	2
1212	1
1213	1
1214	2
1215	2
1216	1
1217	1
1218	1
1219	3
1220	1
1221	1
1222	2
1223	2
1225	1
1226	1
1227	2
1228	2
1229	1
1231	1
1234	2
1237	2
1239	2
1240	5
1241	2
1243	1
1244	1
1246	1
1248	1
1250	3
1252	4
1253	1
1254	1
1255	4
1256	1
1257	1
1259	2
1261	1
1262	1
1263	1
1266	1
1267	1
1268	2
1269	3
1270	1
1271	1
1273	2
1274	1
1275	1
1277	2
1280	3
1281	2
1282	1
1284	1
1286	2
1287	1
1292	1
1293	1
1295	3
1296	2
1298	2
1300	2
1302	2
1303	1
1308	2
1309	2
1310	1
1311	2
1312	2
1313	3
1314	5
1315	3
1316	1
1318	1
1320	1
1321	3
1322	2
1323	5
1325	3
1326	1
1327	2
1328	1
1330	2
1331	1
1333	1
1335	1
1336	1
1337	3
1340	3
1341	1
1344	1
1345	1
1347	1
1348	3
1349	1
1350	1
1352	2
1353	1
1355	1
1358	2
1359	3
1360	1
1362	5
1364	1
1366	1
1367	1
1368	2
1369	1
1371	1
1375	2
1376	1
1377	1
1379	2
1380	1
1381	2
1383	1
1384	2
1385	3
1387	1
1388	1
1391	1
1392	2
1393	2
1394	1
1399	1
1401	2
1402	1
1403	2
1404	1
1405	2
1406	1
1407	1
1408	1
1409	2
1413	1
1414	1
1416	1
1417	1
1419	1
1422	2
1425	1
1426	2
1427	1
1428	1
1429	1
1432	1
1434	2
1435	2
1436	2
1437	2
1438	1
1439	1
1440	1
1445	1
1447	1
1449	1
1454	1
