#Depth	Count
1	2108908860
2	222883886
3	82412960
4	48371070
5	31418001
6	22242220
7	16358261
8	12430581
9	9642776
10	7641533
11	6182580
12	5087255
13	4267137
14	3651858
15	3174278
16	2804134
17	2510403
18	2266204
19	2061781
20	1886789
21	1736650
22	1602132
23	1489943
24	1384714
25	1293100
26	1211958
27	1141013
28	1077164
29	1015671
30	966538
31	915576
32	869291
33	823481
34	779264
35	738659
36	699923
37	662877
38	624272
39	588085
40	553321
41	522341
42	489261
43	458879
44	430132
45	401975
46	377885
47	354542
48	331376
49	308963
50	291132
51	273264
52	256350
53	242592
54	228815
55	217527
56	207459
57	197314
58	188618
59	179901
60	173456
61	166879
62	161471
63	155733
64	150792
65	144955
66	140204
67	136638
68	133571
69	129196
70	126010
71	122764
72	119645
73	116854
74	114153
75	111480
76	108816
77	106753
78	104470
79	101206
80	99192
81	95900
82	93440
83	91859
84	89418
85	85910
86	84576
87	81544
88	79733
89	77691
90	75912
91	73760
92	71025
93	69494
94	67729
95	65443
96	64165
97	62379
98	60305
99	58792
100	56931
101	55511
102	53707
103	52003
104	50738
105	49211
106	47938
107	46974
108	45679
109	44506
110	43731
111	42864
112	42596
113	41911
114	41078
115	40563
116	39613
117	38920
118	38450
119	38243
120	37754
121	37169
122	36754
123	36529
124	36283
125	36267
126	36219
127	36441
128	35958
129	35625
130	35761
131	35846
132	35853
133	36113
134	36090
135	35711
136	36229
137	36043
138	35988
139	35923
140	36538
141	36420
142	36348
143	36448
144	36294
145	36892
146	36736
147	36581
148	37058
149	36769
150	37367
151	37360
152	37815
153	37600
154	37856
155	38076
156	37903
157	37706
158	37881
159	38072
160	38474
161	38690
162	38743
163	38610
164	39071
165	39062
166	39083
167	38634
168	39055
169	38831
170	38637
171	38565
172	38185
173	38788
174	38620
175	38497
176	38297
177	38097
178	37663
179	38113
180	37148
181	37513
182	37197
183	37119
184	36720
185	36520
186	36341
187	35939
188	35547
189	34873
190	34413
191	33925
192	33304
193	32970
194	32520
195	31766
196	31205
197	30706
198	29960
199	29396
200	28731
201	27926
202	27232
203	26602
204	25816
205	25052
