#Depth	Count
1	1582332517
2	101001153
3	42514993
4	26851272
5	18340673
6	12897441
7	9193414
8	6756286
9	5164909
10	4165452
11	3518912
12	3110644
13	2834476
14	2641198
15	2508716
16	2427568
17	2375344
18	2339656
19	2335595
20	2350602
21	2359999
22	2363507
23	2366402
24	2346979
25	2320880
26	2273020
27	2202249
28	2120353
29	2023090
30	1916494
31	1797875
32	1678903
33	1560014
34	1437052
35	1319105
36	1204379
37	1094991
38	992782
39	900848
40	815571
41	735484
42	660434
43	593629
44	533528
45	479001
46	429361
47	384055
48	344865
49	309661
50	278164
51	250557
52	226033
53	204365
54	183846
55	166946
56	151310
57	139259
58	126529
59	115109
60	105021
61	97129
62	89186
63	82300
64	76854
65	72109
66	66921
67	62874
68	58534
69	55198
70	51812
71	48851
72	46062
73	43327
74	40739
75	38558
76	36305
77	34628
78	32750
79	31316
80	29782
81	28145
82	26872
83	25842
84	24525
85	23514
86	22984
87	22004
88	21205
89	20326
90	19158
91	18463
92	17712
93	16939
94	16197
95	15806
96	15614
97	15298
98	14681
99	14201
100	13973
101	13388
102	13033
103	12920
104	12605
105	12175
106	12092
107	11667
108	11495
109	11392
110	10971
111	10531
112	10394
113	10451
114	10193
115	10237
116	10205
117	10030
118	9818
119	9742
120	9736
121	9607
122	9381
123	9395
124	9338
125	9125
126	8934
127	9056
128	8939
129	8947
130	8706
131	8691
132	8392
133	8425
134	8275
135	8118
136	8174
137	8012
138	7997
139	7758
140	7821
141	7548
142	7334
143	7305
144	6957
145	6938
146	6628
147	6520
148	6664
149	6374
150	5970
151	6009
152	5776
153	5536
154	5471
155	5482
156	5106
157	5139
158	4919
159	4823
160	4671
161	4458
162	4601
163	4332
164	4237
165	3948
166	4057
167	3827
168	3729
169	3683
170	3573
171	3330
172	3267
173	3255
174	3132
175	3044
176	3006
177	2995
178	2870
179	2802
180	2801
181	2762
182	2557
183	2541
184	2532
185	2422
186	2293
187	2306
188	2265
189	2273
190	2228
191	2113
192	2100
193	2185
194	2076
195	2034
196	1944
197	2055
198	1953
199	1911
200	1990
201	1942
202	1946
203	1895
204	1853
205	1888
206	1868
207	1842
208	1860
209	1831
210	1793
211	1785
212	1788
213	1735
214	1729
215	1719
216	1728
217	1667
218	1739
219	1760
220	1657
221	1689
222	1732
223	1730
224	1637
225	1624
226	1668
227	1699
228	1600
229	1640
230	1658
231	1632
232	1632
233	1579
234	1556
235	1486
236	1542
237	1557
238	1610
239	1539
240	1580
241	1521
242	1505
243	1515
244	1473
245	1501
246	1470
247	1517
248	1517
249	1465
250	1387
251	1495
252	1409
253	1387
254	1433
255	1341
256	1399
257	1426
258	1434
259	1391
260	1379
261	1402
262	1428
263	1418
264	1409
265	1361
266	1396
267	1387
268	1443
269	1443
270	1487
271	1436
272	1352
273	1482
274	1424
275	1392
276	1384
277	1321
278	1328
279	1428
280	1378
281	1338
282	1436
283	1406
284	1364
285	1394
286	1436
287	1361
288	1346
289	1333
290	1404
291	1373
292	1282
293	1326
294	1374
295	1395
296	1391
297	1430
298	1392
299	1496
300	1450
301	1419
302	1456
303	1499
304	1431
305	1455
306	1469
307	1460
308	1496
309	1495
310	1496
311	1535
312	1435
313	1482
314	1486
315	1465
316	1512
317	1488
318	1483
319	1447
320	1566
321	1608
322	1576
323	1597
324	1638
325	1682
326	1592
327	1600
328	1656
